week_day,hour,heatdata
Fri,0,"[0.46153846153846156, 1.1538461538461537]"
Fri,5,"[0.07692307692307687, 0.4519230769230769]"
Fri,6,"[0.18181818181818177, 1.0287081339712918]"
Fri,7,"[0.3846153846153846, 1.945054945054945]"
Fri,8,"[0.8043478260869565, 5.380434782608695]"
Fri,9,"[0.7692307692307692, 5.043956043956044]"
Fri,10,"[0.7087378640776699, 4.650485436893204]"
Fri,11,"[0.17307692307692313, 1.7884615384615385]"
Fri,12,"[0.23529411764705888, 1.2647058823529411]"
Fri,13,"[0.594059405940594, 3.3366336633663365]"
Fri,14,"[0.1568627450980392, 0.5588235294117647]"
Fri,15,"[0.18627450980392157, 0.7647058823529411]"
Fri,17,"[0.5252525252525253, 2.7626262626262625]"
Fri,19,"[0.3529411764705882, 2.2941176470588234]"
Fri,20,"[0.54, 2.83]"
Fri,21,"[0.2450980392156863, 1.2843137254901962]"
Fri,22,"[0.3921568627450981, 2.323529411764706]"
Fri,23,"[0.4042553191489362, 3.1914893617021276]"
Mon,5,"[0.19148936170212771, 0.9893617021276596]"
Mon,6,"[0.24736842105263157, 1.894736842105263]"
Mon,7,"[0.5, 3.5348837209302326]"
Mon,8,"[0.8837209302325582, 6.5]"
Mon,9,"[0.7674418604651163, 4.511627906976744]"
Mon,10,"[0.6595744680851063, 4.074468085106383]"
Mon,11,"[0.2421052631578947, 1.2210526315789474]"
Mon,12,"[0.3085106382978723, 1.4893617021276595]"
Mon,13,"[0.48351648351648346, 2.043956043956044]"
Mon,14,"[0.11578947368421055, 1.3894736842105264]"
Mon,15,"[0.2717391304347826, 1.108695652173913]"
Mon,17,"[0.5573770491803278, 2.8852459016393444]"
Mon,19,"[0.2282608695652174, 2.6847826086956523]"
Mon,20,"[0.4666666666666667, 2.2333333333333334]"
Mon,21,"[0.25806451612903225, 2.2795698924731185]"
Mon,22,"[0.3296703296703297, 1.901098901098901]"
Mon,23,"[0.17441860465116277, 1.197674418604651]"
Sat,0,"[0.5777777777777777, 5.055555555555555]"
Thu,0,"[0.5280898876404494, 3.4269662921348316]"
Thu,5,"[0.04950495049504955, 0.43564356435643564]"
Thu,6,"[0.14356435643564358, 0.801980198019802]"
Thu,7,"[0.43181818181818177, 3.159090909090909]"
Thu,8,"[0.8770949720670391, 6.324022346368715]"
Thu,9,"[0.8222222222222222, 4.488888888888889]"
Thu,10,"[0.6868686868686869, 4.222222222222222]"
Thu,11,"[0.29702970297029707, 2.287128712871287]"
Thu,12,"[0.3535353535353535, 1.6666666666666667]"
Thu,13,"[0.61, 3.17]"
Thu,14,"[0.19999999999999996, 1.32]"
Thu,15,"[0.26530612244897955, 1.4183673469387754]"
Thu,17,"[0.5435897435897437, 2.651282051282051]"
Thu,19,"[0.2828282828282829, 2.1717171717171717]"
Thu,20,"[0.4747474747474747, 2.2626262626262625]"
Thu,21,"[0.36, 2.59]"
Thu,22,"[0.21212121212121215, 1.7373737373737375]"
Thu,23,"[0.2222222222222222, 2.5656565656565657]"
Tue,0,"[0.42105263157894735, 3.263157894736842]"
Tue,5,"[0.07843137254901966, 0.5784313725490197]"
Tue,6,"[0.18137254901960786, 1.2352941176470589]"
Tue,7,"[0.4444444444444444, 2.2888888888888888]"
Tue,8,"[0.9044943820224719, 5.98876404494382]"
Tue,9,"[0.8333333333333334, 5.044444444444444]"
Tue,10,"[0.6764705882352942, 4.323529411764706]"
Tue,11,"[0.27450980392156865, 1.3627450980392157]"
Tue,12,"[0.2277227722772277, 0.8514851485148515]"
Tue,13,"[0.47058823529411764, 2.0588235294117645]"
Tue,14,"[0.21568627450980393, 0.7352941176470589]"
Tue,15,"[0.17821782178217827, 1.3762376237623761]"
Tue,17,"[0.5490196078431373, 2.715686274509804]"
Tue,19,"[0.28712871287128716, 1.9207920792079207]"
Tue,20,"[0.69, 2.24]"
Tue,21,"[0.22999999999999998, 0.84]"
Tue,22,"[0.1568627450980392, 1.0588235294117647]"
Tue,23,"[0.13861386138613863, 1.4653465346534653]"
Wed,0,"[0.5555555555555556, 3.5555555555555554]"
Wed,5,"[0.08333333333333337, 0.3958333333333333]"
Wed,6,"[0.23076923076923073, 0.8358974358974359]"
Wed,7,"[0.4137931034482759, 1.5517241379310345]"
Wed,8,"[0.930635838150289, 6.092485549132948]"
Wed,9,"[0.7840909090909091, 4.090909090909091]"
Wed,10,"[0.7422680412371134, 3.6288659793814433]"
Wed,11,"[0.25, 1.46875]"
Wed,12,"[0.303030303030303, 2.3333333333333335]"
Wed,13,"[0.5510204081632653, 2.7346938775510203]"
Wed,14,"[0.29292929292929293, 2.191919191919192]"
Wed,15,"[0.1649484536082474, 0.7422680412371134]"
Wed,16,"[1.0, 3.0]"
Wed,17,"[0.5773195876288659, 2.7268041237113403]"
Wed,18,"[1.0, 30.0]"
Wed,19,"[0.23469387755102045, 1.5510204081632653]"
Wed,20,"[0.5154639175257731, 2.948453608247423]"
Wed,21,"[0.30612244897959184, 1.8775510204081634]"
Wed,22,"[0.25773195876288657, 1.4639175257731958]"
Wed,23,"[0.26041666666666663, 1.5729166666666667]"
